#"id","symbol","name"
"bitcoin","btc","Bitcoin"
"bitcoin-cash","bch","Bitcoin Cash"
"bitcoin-cash-sv","bsv","Bitcoin SV"
"bitcoin-private","btcp","Bitcoin Private"
"bitcoin-gold","btg","Bitcoin Gold"
"bitcore","btx","Bitcore"
"ethereum","eth","Ethereum"
"ethereum-classic","etc","Ethereum Classic"
"neo","neo","NEO"
"eos","eos","EOS"
"litecoin","ltc","Litecoin"
"litecoin-cash","lcc","Litecoin Cash"
"ripple","xrp","XRP"
"stellar","xlm","Stellar"
"tron","trx","TRON"
"iota","miota","IOTA"
"binancecoin","bnb","Binance Coin"
"gas","gas","Gas"
"dash","dash","Dash"
"monero","xmr","Monero"
"cardano","ada","Cardano"
"nem","xem","NEM"
"zcash","zec","Zcash"
"openanx","oax","OpenANX"
"verge","xvg","Verge"
"gnosis","gno","Gnosis"
"melon","mln","Melon"
"augur","rep","Augur"
"dogecoin","doge","Dogecoin"
"bytecoin","bcn","Bytecoin"
"tether","usdt","Tether"
"lisk","lsk","Lisk"
